ocel_source_id,ocel_target_id,ocel_qualifier
Baltic Wave Energies Ltd.,o-990196,places
Baltic Wave Energies Ltd.,o-990210,places
Baltic Wave Energies Ltd.,o-990212,places
Baltic Wave Energies Ltd.,o-990213,places
Baltic Wave Energies Ltd.,o-990216,places
Baltic Wave Energies Ltd.,o-990230,places
Baltic Wave Energies Ltd.,o-990243,places
Baltic Wave Energies Ltd.,o-990259,places
Baltic Wave Energies Ltd.,o-990266,places
Baltic Wave Energies Ltd.,o-990276,places
Baltic Wave Energies Ltd.,o-990285,places
Baltic Wave Energies Ltd.,o-990305,places
Baltic Wave Energies Ltd.,o-990313,places
Baltic Wave Energies Ltd.,o-990331,places
Baltic Wave Energies Ltd.,o-990334,places
Baltic Wave Energies Ltd.,o-990359,places
Baltic Wave Energies Ltd.,o-990383,places
Baltic Wave Energies Ltd.,o-990403,places
Baltic Wave Energies Ltd.,o-990479,places
Baltic Wave Energies Ltd.,o-990500,places
Baltic Wave Energies Ltd.,o-990524,places
Baltic Wave Energies Ltd.,o-990534,places
Baltic Wave Energies Ltd.,o-990551,places
Baltic Wave Energies Ltd.,o-990561,places
Baltic Wave Energies Ltd.,o-990574,places
Baltic Wave Energies Ltd.,o-990578,places
Baltic Wave Energies Ltd.,o-990590,places
Baltic Wave Energies Ltd.,o-990597,places
Baltic Wave Energies Ltd.,o-990607,places
Baltic Wave Energies Ltd.,o-990638,places
Baltic Wave Energies Ltd.,o-990678,places
Baltic Wave Energies Ltd.,o-990684,places
Baltic Wave Energies Ltd.,o-990689,places
Baltic Wave Energies Ltd.,o-990711,places
Baltic Wave Energies Ltd.,o-990715,places
Baltic Wave Energies Ltd.,o-990730,places
Baltic Wave Energies Ltd.,o-990742,places
Baltic Wave Energies Ltd.,o-990778,places
Baltic Wave Energies Ltd.,o-990801,places
Baltic Wave Energies Ltd.,o-990809,places
Baltic Wave Energies Ltd.,o-990815,places
Baltic Wave Energies Ltd.,o-990835,places
Baltic Wave Energies Ltd.,o-990846,places
Baltic Wave Energies Ltd.,o-990847,places
Baltic Wave Energies Ltd.,o-990849,places
Baltic Wave Energies Ltd.,o-990853,places
Baltic Wave Energies Ltd.,o-990854,places
Baltic Wave Energies Ltd.,o-990877,places
Baltic Wave Energies Ltd.,o-990881,places
Baltic Wave Energies Ltd.,o-990906,places
Baltic Wave Energies Ltd.,o-990923,places
Baltic Wave Energies Ltd.,o-990924,places
Baltic Wave Energies Ltd.,o-990931,places
Baltic Wave Energies Ltd.,o-990937,places
Baltic Wave Energies Ltd.,o-990953,places
Baltic Wave Energies Ltd.,o-990954,places
Baltic Wave Energies Ltd.,o-990969,places
Baltic Wave Energies Ltd.,o-990984,places
Baltic Wave Energies Ltd.,o-990994,places
Baltic Wave Energies Ltd.,o-991010,places
Baltic Wave Energies Ltd.,o-991058,places
Baltic Wave Energies Ltd.,o-991061,places
Baltic Wave Energies Ltd.,o-991077,places
Baltic Wave Energies Ltd.,o-991081,places
Baltic Wave Energies Ltd.,o-991086,places
Baltic Wave Energies Ltd.,o-991087,places
Baltic Wave Energies Ltd.,o-991106,places
Baltic Wave Energies Ltd.,o-991131,places
Baltic Wave Energies Ltd.,o-991151,places
Baltic Wave Energies Ltd.,o-991168,places
Baltic Wave Energies Ltd.,o-991173,places
Baltic Wave Energies Ltd.,o-991177,places
Baltic Wave Energies Ltd.,o-991180,places
Baltic Wave Energies Ltd.,o-991189,places
Baltic Wave Energies Ltd.,o-991199,places
Baltic Wave Energies Ltd.,o-991209,places
Baltic Wave Energies Ltd.,o-991212,places
Baltic Wave Energies Ltd.,o-991214,places
Baltic Wave Energies Ltd.,o-991220,places
Baltic Wave Energies Ltd.,o-991226,places
Baltic Wave Energies Ltd.,o-991239,places
Baltic Wave Energies Ltd.,o-991268,places
Baltic Wave Energies Ltd.,o-991314,places
Baltic Wave Energies Ltd.,o-991370,places
Baltic Wave Energies Ltd.,o-991392,places
Baltic Wave Energies Ltd.,o-991399,places
Baltic Wave Energies Ltd.,o-991415,places
Baltic Wave Energies Ltd.,o-991428,places
Baltic Wave Energies Ltd.,o-991429,places
Baltic Wave Energies Ltd.,o-991439,places
Baltic Wave Energies Ltd.,o-991449,places
Baltic Wave Energies Ltd.,o-991470,places
Baltic Wave Energies Ltd.,o-991473,places
Baltic Wave Energies Ltd.,o-991484,places
Baltic Wave Energies Ltd.,o-991485,places
Baltic Wave Energies Ltd.,o-991492,places
Baltic Wave Energies Ltd.,o-991518,places
Baltic Wave Energies Ltd.,o-991546,places
Baltic Wave Energies Ltd.,o-991555,places
Baltic Wave Energies Ltd.,o-991574,places
Baltic Wave Energies Ltd.,o-991611,places
Baltic Wave Energies Ltd.,o-991654,places
Baltic Wave Energies Ltd.,o-991680,places
Baltic Wave Energies Ltd.,o-991692,places
Baltic Wave Energies Ltd.,o-991706,places
Baltic Wave Energies Ltd.,o-991716,places
Baltic Wave Energies Ltd.,o-991721,places
Baltic Wave Energies Ltd.,o-991783,places
Baltic Wave Energies Ltd.,o-991784,places
Baltic Wave Energies Ltd.,o-991787,places
Baltic Wave Energies Ltd.,o-991794,places
Baltic Wave Energies Ltd.,o-991796,places
Baltic Wave Energies Ltd.,o-991849,places
Baltic Wave Energies Ltd.,o-991854,places
Baltic Wave Energies Ltd.,o-991860,places
Baltic Wave Energies Ltd.,o-991865,places
Baltic Wave Energies Ltd.,o-991875,places
Baltic Wave Energies Ltd.,o-991897,places
Baltic Wave Energies Ltd.,o-991900,places
Baltic Wave Energies Ltd.,o-991901,places
Baltic Wave Energies Ltd.,o-991960,places
Baltic Wave Energies Ltd.,o-991975,places
Baltic Wave Energies Ltd.,o-991976,places
Baltic Wave Energies Ltd.,o-991978,places
Carpathian Financial Services plc,Istvan Koren,secondarySalesRep
Carpathian Financial Services plc,Jan Niklas Adams,primarySalesRep
Carpathian Financial Services plc,o-990026,places
Carpathian Financial Services plc,o-990044,places
Carpathian Financial Services plc,o-990077,places
Carpathian Financial Services plc,o-990136,places
Carpathian Financial Services plc,o-990137,places
Carpathian Financial Services plc,o-990155,places
Carpathian Financial Services plc,o-990182,places
Carpathian Financial Services plc,o-990189,places
Carpathian Financial Services plc,o-990233,places
Carpathian Financial Services plc,o-990238,places
Carpathian Financial Services plc,o-990249,places
Carpathian Financial Services plc,o-990271,places
Carpathian Financial Services plc,o-990278,places
Carpathian Financial Services plc,o-990283,places
Carpathian Financial Services plc,o-990291,places
Carpathian Financial Services plc,o-990295,places
Carpathian Financial Services plc,o-990300,places
Carpathian Financial Services plc,o-990311,places
Carpathian Financial Services plc,o-990318,places
Carpathian Financial Services plc,o-990319,places
Carpathian Financial Services plc,o-990323,places
Carpathian Financial Services plc,o-990356,places
Carpathian Financial Services plc,o-990376,places
Carpathian Financial Services plc,o-990380,places
Carpathian Financial Services plc,o-990413,places
Carpathian Financial Services plc,o-990419,places
Carpathian Financial Services plc,o-990427,places
Carpathian Financial Services plc,o-990442,places
Carpathian Financial Services plc,o-990445,places
Carpathian Financial Services plc,o-990464,places
Carpathian Financial Services plc,o-990480,places
Carpathian Financial Services plc,o-990497,places
Carpathian Financial Services plc,o-990514,places
Carpathian Financial Services plc,o-990518,places
Carpathian Financial Services plc,o-990566,places
Carpathian Financial Services plc,o-990569,places
Carpathian Financial Services plc,o-990602,places
Carpathian Financial Services plc,o-990614,places
Carpathian Financial Services plc,o-990623,places
Carpathian Financial Services plc,o-990631,places
Carpathian Financial Services plc,o-990650,places
Carpathian Financial Services plc,o-990681,places
Carpathian Financial Services plc,o-990699,places
Carpathian Financial Services plc,o-990726,places
Carpathian Financial Services plc,o-990772,places
Carpathian Financial Services plc,o-990818,places
Carpathian Financial Services plc,o-990821,places
Carpathian Financial Services plc,o-990860,places
Carpathian Financial Services plc,o-990886,places
Carpathian Financial Services plc,o-990891,places
Carpathian Financial Services plc,o-990935,places
Carpathian Financial Services plc,o-990955,places
Carpathian Financial Services plc,o-990961,places
Carpathian Financial Services plc,o-990964,places
Carpathian Financial Services plc,o-990971,places
Carpathian Financial Services plc,o-990982,places
Carpathian Financial Services plc,o-991013,places
Carpathian Financial Services plc,o-991039,places
Carpathian Financial Services plc,o-991059,places
Carpathian Financial Services plc,o-991071,places
Carpathian Financial Services plc,o-991085,places
Carpathian Financial Services plc,o-991092,places
Carpathian Financial Services plc,o-991093,places
Carpathian Financial Services plc,o-991098,places
Carpathian Financial Services plc,o-991116,places
Carpathian Financial Services plc,o-991119,places
Carpathian Financial Services plc,o-991120,places
Carpathian Financial Services plc,o-991122,places
Carpathian Financial Services plc,o-991133,places
Carpathian Financial Services plc,o-991148,places
Carpathian Financial Services plc,o-991179,places
Carpathian Financial Services plc,o-991183,places
Carpathian Financial Services plc,o-991203,places
Carpathian Financial Services plc,o-991240,places
Carpathian Financial Services plc,o-991246,places
Carpathian Financial Services plc,o-991254,places
Carpathian Financial Services plc,o-991266,places
Carpathian Financial Services plc,o-991272,places
Carpathian Financial Services plc,o-991283,places
Carpathian Financial Services plc,o-991291,places
Carpathian Financial Services plc,o-991355,places
Carpathian Financial Services plc,o-991361,places
Carpathian Financial Services plc,o-991366,places
Carpathian Financial Services plc,o-991376,places
Carpathian Financial Services plc,o-991377,places
Carpathian Financial Services plc,o-991388,places
Carpathian Financial Services plc,o-991390,places
Carpathian Financial Services plc,o-991393,places
Carpathian Financial Services plc,o-991400,places
Carpathian Financial Services plc,o-991413,places
Carpathian Financial Services plc,o-991457,places
Carpathian Financial Services plc,o-991471,places
Carpathian Financial Services plc,o-991472,places
Carpathian Financial Services plc,o-991507,places
Carpathian Financial Services plc,o-991511,places
Carpathian Financial Services plc,o-991530,places
Carpathian Financial Services plc,o-991531,places
Carpathian Financial Services plc,o-991534,places
Carpathian Financial Services plc,o-991544,places
Carpathian Financial Services plc,o-991554,places
Carpathian Financial Services plc,o-991575,places
Carpathian Financial Services plc,o-991579,places
Carpathian Financial Services plc,o-991581,places
Carpathian Financial Services plc,o-991586,places
Carpathian Financial Services plc,o-991589,places
Carpathian Financial Services plc,o-991601,places
Carpathian Financial Services plc,o-991606,places
Carpathian Financial Services plc,o-991642,places
Carpathian Financial Services plc,o-991678,places
Carpathian Financial Services plc,o-991681,places
Carpathian Financial Services plc,o-991682,places
Carpathian Financial Services plc,o-991698,places
Carpathian Financial Services plc,o-991717,places
Carpathian Financial Services plc,o-991735,places
Carpathian Financial Services plc,o-991774,places
Carpathian Financial Services plc,o-991779,places
Carpathian Financial Services plc,o-991789,places
Carpathian Financial Services plc,o-991803,places
Carpathian Financial Services plc,o-991808,places
Carpathian Financial Services plc,o-991809,places
Carpathian Financial Services plc,o-991853,places
Carpathian Financial Services plc,o-991871,places
Carpathian Financial Services plc,o-991876,places
Carpathian Financial Services plc,o-991925,places
Carpathian Financial Services plc,o-991942,places
Carpathian Financial Services plc,o-991951,places
Carpathian Financial Services plc,o-991967,places
Carpathian Financial Services plc,o-991972,places
Carpathian Financial Services plc,o-991973,places
Carpathian Financial Services plc,o-991997,places
Carpathian Financial Services plc,o-992000,places
Celtica Green Farms Oy,Istvan Koren,primarySalesRep
Celtica Green Farms Oy,Mara Nitschke,secondarySalesRep
Celtica Green Farms Oy,o-990003,places
Celtica Green Farms Oy,o-990014,places
Celtica Green Farms Oy,o-990063,places
Celtica Green Farms Oy,o-990067,places
Celtica Green Farms Oy,o-990079,places
Celtica Green Farms Oy,o-990085,places
Celtica Green Farms Oy,o-990086,places
Celtica Green Farms Oy,o-990097,places
Celtica Green Farms Oy,o-990102,places
Celtica Green Farms Oy,o-990105,places
Celtica Green Farms Oy,o-990124,places
Celtica Green Farms Oy,o-990130,places
Celtica Green Farms Oy,o-990132,places
Celtica Green Farms Oy,o-990166,places
Celtica Green Farms Oy,o-990171,places
Celtica Green Farms Oy,o-990187,places
Celtica Green Farms Oy,o-990188,places
Celtica Green Farms Oy,o-990208,places
Celtica Green Farms Oy,o-990215,places
Celtica Green Farms Oy,o-990226,places
Celtica Green Farms Oy,o-990239,places
Celtica Green Farms Oy,o-990245,places
Celtica Green Farms Oy,o-990253,places
Celtica Green Farms Oy,o-990281,places
Celtica Green Farms Oy,o-990301,places
Celtica Green Farms Oy,o-990328,places
Celtica Green Farms Oy,o-990346,places
Celtica Green Farms Oy,o-990354,places
Celtica Green Farms Oy,o-990355,places
Celtica Green Farms Oy,o-990381,places
Celtica Green Farms Oy,o-990386,places
Celtica Green Farms Oy,o-990406,places
Celtica Green Farms Oy,o-990411,places
Celtica Green Farms Oy,o-990412,places
Celtica Green Farms Oy,o-990436,places
Celtica Green Farms Oy,o-990456,places
Celtica Green Farms Oy,o-990483,places
Celtica Green Farms Oy,o-990484,places
Celtica Green Farms Oy,o-990485,places
Celtica Green Farms Oy,o-990507,places
Celtica Green Farms Oy,o-990536,places
Celtica Green Farms Oy,o-990537,places
Celtica Green Farms Oy,o-990572,places
Celtica Green Farms Oy,o-990575,places
Celtica Green Farms Oy,o-990576,places
Celtica Green Farms Oy,o-990580,places
Celtica Green Farms Oy,o-990586,places
Celtica Green Farms Oy,o-990616,places
Celtica Green Farms Oy,o-990648,places
Celtica Green Farms Oy,o-990661,places
Celtica Green Farms Oy,o-990663,places
Celtica Green Farms Oy,o-990666,places
Celtica Green Farms Oy,o-990672,places
Celtica Green Farms Oy,o-990707,places
Celtica Green Farms Oy,o-990727,places
Celtica Green Farms Oy,o-990729,places
Celtica Green Farms Oy,o-990755,places
Celtica Green Farms Oy,o-990765,places
Celtica Green Farms Oy,o-990766,places
Celtica Green Farms Oy,o-990767,places
Celtica Green Farms Oy,o-990774,places
Celtica Green Farms Oy,o-990783,places
Celtica Green Farms Oy,o-990794,places
Celtica Green Farms Oy,o-990808,places
Celtica Green Farms Oy,o-990864,places
Celtica Green Farms Oy,o-990865,places
Celtica Green Farms Oy,o-990916,places
Celtica Green Farms Oy,o-990999,places
Celtica Green Farms Oy,o-991001,places
Celtica Green Farms Oy,o-991005,places
Celtica Green Farms Oy,o-991016,places
Celtica Green Farms Oy,o-991019,places
Celtica Green Farms Oy,o-991033,places
Celtica Green Farms Oy,o-991042,places
Celtica Green Farms Oy,o-991051,places
Celtica Green Farms Oy,o-991060,places
Celtica Green Farms Oy,o-991063,places
Celtica Green Farms Oy,o-991078,places
Celtica Green Farms Oy,o-991108,places
Celtica Green Farms Oy,o-991125,places
Celtica Green Farms Oy,o-991143,places
Celtica Green Farms Oy,o-991175,places
Celtica Green Farms Oy,o-991218,places
Celtica Green Farms Oy,o-991223,places
Celtica Green Farms Oy,o-991225,places
Celtica Green Farms Oy,o-991238,places
Celtica Green Farms Oy,o-991241,places
Celtica Green Farms Oy,o-991252,places
Celtica Green Farms Oy,o-991255,places
Celtica Green Farms Oy,o-991260,places
Celtica Green Farms Oy,o-991275,places
Celtica Green Farms Oy,o-991280,places
Celtica Green Farms Oy,o-991285,places
Celtica Green Farms Oy,o-991292,places
Celtica Green Farms Oy,o-991310,places
Celtica Green Farms Oy,o-991323,places
Celtica Green Farms Oy,o-991328,places
Celtica Green Farms Oy,o-991333,places
Celtica Green Farms Oy,o-991339,places
Celtica Green Farms Oy,o-991384,places
Celtica Green Farms Oy,o-991394,places
Celtica Green Farms Oy,o-991410,places
Celtica Green Farms Oy,o-991432,places
Celtica Green Farms Oy,o-991441,places
Celtica Green Farms Oy,o-991451,places
Celtica Green Farms Oy,o-991476,places
Celtica Green Farms Oy,o-991482,places
Celtica Green Farms Oy,o-991499,places
Celtica Green Farms Oy,o-991510,places
Celtica Green Farms Oy,o-991536,places
Celtica Green Farms Oy,o-991549,places
Celtica Green Farms Oy,o-991565,places
